feature,n,spearman_rho,p_raw,perm_p,p_holm,holm_sig,p_fdr,fdr_sig,abs_rho
paren_std_HU,99,0.6641727852406281,6.67580522831458e-14,0.0,1.1482384992701078e-11,True,1.1348868888134787e-11,True,0.6641727852406281
whole_std_HU,102,0.6353239471602653,7.367651323404077e-13,0.0,1.2598683763020973e-10,True,6.262503624893465e-11,True,0.6353239471602653
vein_persH1_total,102,-0.5943989749057488,4.509216521985041e-11,0.0,7.66566808737457e-09,True,2.5552226957915232e-09,True,0.5943989749057488
vein_persH0_total,102,-0.5613714656812454,8.374247147608907e-10,0.0,1.4152477679459054e-07,True,3.559055037733786e-08,True,0.5613714656812454
paren_HU_p95,99,0.5578780337270685,1.9876143729614246e-09,0.0,3.3391921465751935e-07,True,6.757888868068844e-08,True,0.5578780337270685
whole_HU_p95,102,0.5405185386262559,4.518709372269788e-09,0.0,7.546244651690546e-07,True,1.2803009888097734e-07,True,0.5405185386262559
vein_persH1_n_loops,102,-0.4703661473716633,6.089579218141715e-07,0.0,0.00010108701502115247,True,1.4788978101201308e-05,True,0.4703661473716633
vessel_airway_over_lung,102,0.466413840222,7.779709050852104e-07,0.0,0.0001283651993390597,True,1.6531881733060722e-05,True,0.466413840222
paren_HU_p75,99,0.4564563093958941,2.048801082415926e-06,0.0,0.00033600337751621184,True,3.869957600118971e-05,True,0.4564563093958941
whole_HU_p75,102,0.4480508766386194,2.333974126013717e-06,0.0,0.00038043778254023586,True,3.967756014223318e-05,True,0.4480508766386194
middle_n_voxels,102,-0.4398877200841771,3.7277948069517153e-06,0.0,0.0006039027587261779,True,5.761137428925379e-05,True,0.4398877200841771
basal_n_voxels,102,-0.43514040464142256,4.867625567308725e-06,0.0,0.0007836877163367047,True,6.895802887020694e-05,True,0.43514040464142256
paren_n_voxels,102,-0.4237559008621351,9.08163063577411e-06,0.0,0.0014530609017238574,True,0.00011875978523704605,True,0.4237559008621351
whole_n_voxels,102,-0.3956296653045689,3.860940578197312e-05,0.0,0.006138895519333726,True,0.0004688284987811022,True,0.3956296653045689
middle_mean_HU,99,0.3898085279906022,6.65625486601253e-05,0.0,0.010450320139639672,True,0.0007072270795138313,True,0.3898085279906022
artery_persH1_total,102,-0.38657082612674515,5.9892519910061545e-05,0.0,0.009463018145789724,True,0.0006787818923140309,True,0.38657082612674515
apical_n_voxels,102,-0.3829538845835856,7.11156000666402e-05,0.0,0.011094033610395872,True,0.000711156000666402,True,0.3829538845835856
lung_vol_mL,102,-0.38075981561105177,7.884796078095782e-05,0.0,0.012221433921048462,True,0.0007446751851534904,True,0.38075981561105177
artery_persH0_total,102,-0.3792830154702573,8.448573899607226e-05,0.0,0.013010803805395129,True,0.0007559250331227518,True,0.3792830154702573
airway_tort_mean_legR17,99,0.37874310737925077,0.00011080273811995513,0.0,0.016952818932353134,True,0.0009418232740196186,True,0.37874310737925077
whole_mean_HU,102,0.3700714038640755,0.000129020502704501,0.0,0.01961111641108415,True,0.0010444516885602462,True,0.3700714038640755
paren_mean_HU,99,0.3587968821944712,0.00026546696230913825,0.0,0.04008551130867988,True,0.0020513356178433408,True,0.3587968821944712
airway_mean_HU,99,0.35000271961688145,0.00038337083448067554,0.0,0.05712225433762066,False,0.002715543410904785,True,0.35000271961688145
airway_tort_p75_legR17,99,0.34792950043075016,0.0004174251476404673,0.0,0.06177892185078916,False,0.0027429841812990014,True,0.34792950043075016
artery_vol_mL,102,0.34632377861152935,0.0003630262992152263,0.0,0.054453944882283944,False,0.002683237863764716,True,0.34632377861152935
artery_persH0_max,102,-0.3428505897477482,0.0004195152277280826,0.002,0.06177892185078916,False,0.0027429841812990014,True,0.3428505897477482
paren_HU_p50,99,0.3384188994236871,0.0006122274967438957,0.0,0.08877298702786487,False,0.0036291893472806245,True,0.3384188994236871
whole_HU_p50,102,0.33765563688114997,0.0005192178045487711,0.0,0.07580579946412058,False,0.0032691491397515223,True,0.33765563688114997
artery_len_p75,102,-0.33281190605897276,0.0006313276011708268,0.002,0.09091117456859905,False,0.0036291893472806245,True,0.33281190605897276
vein_persH1_max,102,-0.33245353854474835,0.0006404451789318749,0.002,0.0915836605872581,False,0.0036291893472806245,True,0.33245353854474835
airway_tort_p50_legR17,99,0.32495699410561774,0.0010316102288890927,0.004,0.14648865250225115,False,0.005657217384230508,True,0.32495699410561774
airway_tort_sd_legR17,99,0.3216274659798307,0.0011694907677789446,0.002,0.1648981982568312,False,0.0062129197038256435,True,0.3216274659798307
airway_len_kurt_legR17,99,-0.3156306021250211,0.001460785069152842,0.002,0.20304912461224503,False,0.007303925345764209,True,0.3156306021250211
artery_len_p90,102,-0.3122385523734218,0.0013989708509113273,0.0,0.19585591912758582,False,0.007206819534997747,True,0.3122385523734218
vein_mean_HU,99,-0.3059390760191059,0.002072840910250213,0.002,0.2860520456145294,False,0.00987838868483624,True,0.3059390760191059
vein_persH0_max,102,-0.3012573417891118,0.0020918940744359097,0.002,0.2865894881977196,False,0.00987838868483624,True,0.3012573417891118
artery_len_mean,102,-0.2969047271567432,0.0024433041308542535,0.002,0.33228936179617846,False,0.011225991952573598,True,0.2969047271567432
basal_mean_HU,99,0.29630943705307516,0.0029015563831077365,0.0,0.39171011171954445,False,0.012358967950724876,True,0.29630943705307516
airway_mean_degree_legR17,102,-0.2907611847560303,0.0030299301109271235,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2907611847560303
airway_n_nodes_legR17,102,-0.2907611847560303,0.0030299301109271235,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2907611847560303
airway_n_edges_legR17,102,-0.2907611847560303,0.0030299301109271235,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2907611847560303
airway_n_branches_legR17,102,-0.2905384831901659,0.0030533920819437927,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2905384831901659
vein_len_p90,102,-0.28645961964752226,0.003512972500270397,0.0,0.4566864250351516,False,0.013888495931301571,True,0.28645961964752226
airway_tort_p10_legR17,99,0.28275615341836613,0.004571545931835859,0.002,0.58515787927499,False,0.017270284631379914,True,0.28275615341836613
airway_tort_p25_legR17,99,0.28135750405697607,0.004785251136752256,0.002,0.6077268943675366,False,0.017600217558086186,True,0.28135750405697607
airway_total_vol_proxy_mm3_legR17,99,-0.28084384079593455,0.00486594250135324,0.002,0.6131087551705082,False,0.017600217558086186,True,0.28084384079593455
artery_len_p50,102,-0.2806033432271303,0.004281293702190949,0.002,0.5522868875826324,False,0.016541362031192303,True,0.2806033432271303
paren_LAA_856_frac,99,-0.27891296203153765,0.005180210842972688,0.0,0.6475263553715861,False,0.01821924862862814,True,0.27891296203153765
whole_LAA_856_frac,102,-0.27442454723576015,0.00525143048707517,0.002,0.6511773803973211,False,0.01821924862862814,True,0.27442454723576015
airway_tort_p90_legR17,99,0.26922762463961086,0.0070450472127285965,0.004,0.8594957599528887,False,0.023483490709095323,True,0.26922762463961086
airway_lap_eig0_legR17,102,-0.26872652266123775,0.006314591833500433,0.008,0.7766947955205533,False,0.021469612233901474,True,0.26872652266123775
apical_mean_HU,99,0.26835501596723915,0.007239150536505075,0.006,0.8759372149171141,False,0.023666453677035824,True,0.26835501596723915
airway_vol_mL,102,-0.257797900938427,0.00889883423544666,0.008,1.0,False,0.02854343056652702,True,0.257797900938427
airway_len_skew_legR17,99,-0.2577785037609754,0.00999563789262236,0.02,1.0,False,0.03146774892121854,True,0.2577785037609754
artery_diam_p75,102,-0.24540130877584396,0.012917875145330123,0.008,1.0,False,0.03992797772192948,True,0.24540130877584396
airway_tort_kurt_legR17,99,0.24256664477736126,0.015558910792293048,0.012,1.0,False,0.04723240776231818,True,0.24256664477736126
airway_len_p90_legR17,99,0.2401963673197843,0.016632078698725038,0.016,1.0,False,0.04874919618591821,True,0.2401963673197843
artery_diam_sd,102,-0.23696135285951342,0.016486854089517184,0.008,1.0,False,0.04874919618591821,True,0.23696135285951342
vein_len_mean,102,-0.2343415886250772,0.017755557796504118,0.006,1.0,False,0.05116008178653729,False,0.2343415886250772
airway_max_degree_legR17,102,-0.2318922892669057,0.019017048486978876,0.022,1.0,False,0.05388163737977348,False,0.2318922892669057
airway_tort_skew_legR17,99,0.2286606044453105,0.022816149460718832,0.02,1.0,False,0.06358599030036395,False,0.2286606044453105
airway_total_len_mm_legR17,99,-0.2266740272550175,0.024058899881242497,0.018,1.0,False,0.06596795128727782,False,0.2266740272550175
artery_len_skew,102,0.22258942811768184,0.024536275958215847,0.026,1.0,False,0.06602218555971495,False,0.22258942811768184
vein_len_p75,102,-0.22210847788025834,0.024855411034245628,0.004,1.0,False,0.06602218555971495,False,0.22210847788025834
airway_len_p75_legR17,99,0.22094327810171133,0.02797235206563191,0.022,1.0,False,0.07315845924857577,False,0.22094327810171133
airway_len_sd_legR17,99,0.21575713577938885,0.03196706482277164,0.028,1.0,False,0.0789287083285634,False,0.21575713577938885
artery_len_kurt,102,0.21395495679640822,0.03082861821407191,0.024,1.0,False,0.07835268837975369,False,0.21395495679640822
airway_branch_per_node_legR17,102,-0.21389064469062907,0.030880177184961746,0.034,1.0,False,0.07835268837975369,False,0.21389064469062907
artery_persH1_max,102,-0.21247249841752638,0.03203576985100515,0.022,1.0,False,0.0789287083285634,False,0.21247249841752638
artery_len_p25,102,-0.2112220278002253,0.0330848132879842,0.022,1.0,False,0.08034883227081877,False,0.2112220278002253
vein_persH0_n_pairs,102,-0.20959828655543394,0.03449008251766633,0.038,1.0,False,0.0817770831338816,False,0.20959828655543394
vein_len_sd,102,-0.20943402456462737,0.03463499991552633,0.03,1.0,False,0.0817770831338816,False,0.20943402456462737
artery_len_p10,102,-0.20398288887662264,0.03974294224643876,0.04,1.0,False,0.09255205728622726,False,0.20398288887662264
vein_len_skew,102,0.20039216010106561,0.043440284047550896,0.048,1.0,False,0.09979524713626557,False,0.20039216010106561
airway_len_mean_legR17,99,0.20034104923415588,0.04678312829957595,0.044,1.0,False,0.1032874261159469,False,0.20034104923415588
artery_persH0_n_pairs,102,-0.19966562906257776,0.04422217400950022,0.042,1.0,False,0.10023692775486717,False,0.19966562906257776
artery_diam_p90,102,-0.19767054758105734,0.04642964149739108,0.03,1.0,False,0.1032874261159469,False,0.19767054758105734
vein_len_kurt,102,0.19267998158802765,0.05235405615715571,0.048,1.0,False,0.11281251090456544,False,0.19267998158802765
artery_diam_mean,102,-0.19262339920715432,0.052424637420356884,0.04,1.0,False,0.11281251090456544,False,0.19262339920715432
vein_p95_HU,99,-0.19258385811841425,0.056163162994057714,0.06,1.0,False,0.11934672136237263,False,0.19258385811841425
artery_diam_kurt,102,0.1793321979400038,0.07131049218240865,0.076,1.0,False,0.14966399593838853,False,0.1793321979400038
vein_len_p50,102,-0.1775668276567552,0.07418801760318237,0.064,1.0,False,0.15380442673830494,False,0.1775668276567552
whole_HU_p25,102,0.17689685713301326,0.07530422810594374,0.07,1.0,False,0.15423757563867996,False,0.17689685713301326
artery_persH1_n_loops,102,-0.17541988190816998,0.07781266492217412,0.054,1.0,False,0.15747801234249523,False,0.17541988190816998
vein_vol_mL,102,-0.1705129330958385,0.08663085921790382,0.09,1.0,False,0.17137756642894753,False,0.1705129330958385
artery_n_nodes,102,0.1704777258655851,0.08669688654640875,0.086,1.0,False,0.17137756642894753,False,0.1704777258655851
paren_HU_p25,99,0.16793808907848085,0.09660013800433533,0.08,1.0,False,0.18661390296292052,False,0.16793808907848085
artery_n_edges,102,0.16617675400594475,0.09506858719798135,0.092,1.0,False,0.18576620486961873,False,0.16617675400594475
airway_diam_kurt_legR17,99,-0.16511488921188927,0.10241883673123593,0.088,1.0,False,0.19345780271455676,False,0.16511488921188927
artery_n_branches,102,0.16385749783359668,0.09984062209212982,0.098,1.0,False,0.19070680624339403,False,0.16385749783359668
middle_LAA_910_frac,99,-0.15775031956563182,0.11889157457011601,0.102,1.0,False,0.2221051393068101,False,0.15775031956563182
airway_len_p10_legR17,99,-0.15379573132701124,0.12854326896232282,0.118,1.0,False,0.2375256056912487,False,0.15379573132701124
airway_diam_p50_legR17,99,0.15184702576445044,0.1335145577109577,0.13,1.0,False,0.2440588689340087,False,0.15184702576445044
vein_tort_p50,102,-0.14508612211009334,0.14568329367563926,0.122,1.0,False,0.26346978643466673,False,0.14508612211009334
artery_diam_skew,102,0.14453403370289192,0.1472387880630558,0.144,1.0,False,0.2634799365338893,False,0.14453403370289192
airway_len_p25_legR17,99,-0.1410222256548471,0.16383105008128465,0.16,1.0,False,0.28556632365326345,False,0.1410222256548471
airway_diam_skew_legR17,99,-0.14019912669438303,0.16632972974599514,0.158,1.0,False,0.2856167076446381,False,0.14019912669438303
vein_diam_p50,102,0.13906251747243872,0.1633368681498637,0.136,1.0,False,0.28556632365326345,False,0.13906251747243872
vein_diam_skew,102,-0.1386438078539759,0.16462058657658715,0.184,1.0,False,0.28556632365326345,False,0.1386438078539759
artery_tort_p10,102,-0.1356707156197895,0.1739516866986123,0.18,1.0,False,0.29571786738764094,False,0.1356707156197895
artery_tort_kurt,102,-0.13290635443341797,0.18297152024250735,0.184,1.0,False,0.30549124869090094,False,0.13290635443341797
airway_lap_eig1_legR17,102,-0.13280916135324947,0.18329474921454056,0.182,1.0,False,0.30549124869090094,False,0.13280916135324947
vein_tort_mean,102,-0.13020171662767172,0.19212232810562907,0.148,1.0,False,0.3107895646985908,False,0.13020171662767172
artery_diam_p50,102,-0.12979432348538356,0.1935289147981431,0.178,1.0,False,0.3107895646985908,False,0.12979432348538356
artery_tort_p50,102,-0.12969247519981153,0.19388172234629822,0.164,1.0,False,0.3107895646985908,False,0.12969247519981153
vein_len_p25,102,-0.1294438786932358,0.19474482545606883,0.184,1.0,False,0.3107895646985908,False,0.1294438786932358
artery_tort_p90,102,0.1289342712961086,0.19652280457462323,0.164,1.0,False,0.3107895646985908,False,0.1289342712961086
vein_diam_p25,102,0.1286718907994157,0.19744278227910472,0.18,1.0,False,0.3107895646985908,False,0.1286718907994157
apical_basal_LAA950_gradient,99,-0.12441171730984292,0.21984783416499024,0.202,1.0,False,0.3397648346186213,False,0.12441171730984292
vessel_airway_vol_mL,102,0.12290824773309655,0.2184403137497245,0.234,1.0,False,0.3397648346186213,False,0.12290824773309655
whole_LAA_910_frac,102,-0.1207807502122585,0.2265766221637259,0.226,1.0,False,0.34700924115165227,False,0.1207807502122585
paren_LAA_910_frac,99,-0.1158465371498259,0.25350855298189257,0.206,1.0,False,0.3747517739732325,False,0.1158465371498259
vein_tort_p25,102,-0.11584110836201482,0.24628219343993538,0.252,1.0,False,0.3710374920626032,False,0.11584110836201482
vein_diam_p75,102,0.11575623479070479,0.2466308035474951,0.228,1.0,False,0.3710374920626032,False,0.11575623479070479
vein_tort_p10,102,-0.1141688198362516,0.2532137558412699,0.23,1.0,False,0.3747517739732325,False,0.1141688198362516
vein_diam_kurt,102,-0.10887581727650511,0.2760296639652607,0.296,1.0,False,0.40283659081607087,False,0.10887581727650511
artery_tort_p25,102,-0.10860200681860932,0.2772463595616488,0.254,1.0,False,0.40283659081607087,False,0.10860200681860932
airway_len_p50_legR17,99,0.10808588980830756,0.2869184285727251,0.284,1.0,False,0.4107564821073481,False,0.10808588980830756
basal_LAA_910_frac,99,-0.1079497381005616,0.28752953747514365,0.272,1.0,False,0.4107564821073481,False,0.1079497381005616
vein_len_p10,102,-0.10490968898244021,0.2940048298877047,0.274,1.0,False,0.4139009782112978,False,0.10490968898244021
airway_lap_eig4_legR17,102,0.10478113450211736,0.2946001080209825,0.28,1.0,False,0.4139009782112978,False,0.10478113450211736
airway_diam_mean_legR17,99,0.10424269842147911,0.3045006443870944,0.298,1.0,False,0.4243041766049676,False,0.10424269842147911
apical_LAA_910_frac,99,-0.09650061722192611,0.34201337706819973,0.304,1.0,False,0.47270141546011346,False,0.09650061722192611
artery_mean_HU,101,-0.09305119803151872,0.35469396821600563,0.362,1.0,False,0.4862739886832335,False,0.09305119803151872
vein_tort_p75,102,-0.09151068458647317,0.3603263850702514,0.348,1.0,False,0.49004388369554186,False,0.09151068458647317
airway_diam_p25_legR17,99,0.08250523977536085,0.41686255427369995,0.422,1.0,False,0.5624336049724523,False,0.08250523977536085
airway_lap_eig3_legR17,102,0.08025024485954567,0.4226726188489753,0.43,1.0,False,0.5657822457033527,False,0.08025024485954567
vein_branch_per_node,102,0.07728675964320941,0.44005885570129566,0.406,1.0,False,0.5844531677282833,False,0.07728675964320941
artery_p95_HU,101,-0.07692757465982025,0.4444958036512469,0.466,1.0,False,0.5857696637264493,False,0.07692757465982025
artery_total_len_mm,102,0.07575814975133183,0.4491825643634176,0.432,1.0,False,0.587392584167546,False,0.07575814975133183
vein_diam_mean,102,0.07361933575431909,0.4621239364995276,0.45,1.0,False,0.5997028183581655,False,0.07361933575431909
vein_total_len_mm,102,-0.07103352094840687,0.4780399155583385,0.452,1.0,False,0.6080275799494699,False,0.07103352094840687
vein_tort_kurt,102,0.0704903300920227,0.48142042705851107,0.512,1.0,False,0.6080275799494699,False,0.0704903300920227
vein_mean_degree,102,0.07046686031517359,0.4815667778451979,0.446,1.0,False,0.6080275799494699,False,0.07046686031517359
artery_tort_sd,102,0.07011122814017123,0.48378731310834694,0.458,1.0,False,0.6080275799494699,False,0.07011122814017123
vein_tortuosity_proxy,102,0.06945546162605597,0.48789616413670744,0.458,1.0,False,0.6080275799494699,False,0.06945546162605597
airway_diam_p90_legR17,99,0.06921457724684292,0.4960315552290947,0.478,1.0,False,0.6103522899056432,False,0.06921457724684292
vein_tort_p90,102,-0.06912103647488756,0.489998696782808,0.446,1.0,False,0.6080275799494699,False,0.06912103647488756
vein_tort_skew,102,0.06768950223879174,0.49905275468755533,0.526,1.0,False,0.6103522899056432,False,0.06768950223879174
artery_branch_per_node,102,0.06331163695370982,0.5272755714336655,0.53,1.0,False,0.6402631938837368,False,0.06331163695370982
artery_max_degree,102,-0.05920282062886782,0.5544742609553277,0.554,1.0,False,0.6669027424713369,False,0.05920282062886782
artery_tort_skew,102,-0.05881738491785005,0.5570599378289991,0.566,1.0,False,0.6669027424713369,False,0.05881738491785005
artery_mean_degree,102,0.05529339689370863,0.5809647888702355,0.574,1.0,False,0.690657441314266,False,0.05529339689370863
vein_n_branches,102,0.05441967834626816,0.5869639492661641,0.576,1.0,False,0.6929435512169992,False,0.05441967834626816
artery_tort_mean,102,0.04836096093245448,0.6293195799183728,0.618,1.0,False,0.7378229557663681,False,0.04836096093245448
artery_tortuosity_proxy,102,0.04625083041396183,0.6443676818681385,0.652,1.0,False,0.7469261884890915,False,0.04625083041396183
vein_diam_p90,102,0.04604108331664702,0.6458714688699791,0.646,1.0,False,0.7469261884890915,False,0.04604108331664702
artery_len_sd,102,-0.04479627093743327,0.654825368616539,0.656,1.0,False,0.7521642747622407,False,0.04479627093743327
vein_diam_p10,102,0.043993298650079456,0.6606272794904232,0.66,1.0,False,0.7537358222373957,False,0.043993298650079456
apical_LAA_950_frac,99,-0.038778481851637854,0.7031408072362767,0.692,1.0,False,0.7916154783454771,False,0.038778481851637854
artery_diam_p10,102,0.038283082791062406,0.7024501576467764,0.688,1.0,False,0.7916154783454771,False,0.038283082791062406
vein_n_edges,102,0.036194184222075536,0.7179824154946329,0.694,1.0,False,0.8030066489084711,False,0.036194184222075536
airway_diam_sd_legR17,99,0.030380396969309005,0.7653131758220331,0.722,1.0,False,0.8431971767901956,False,0.030380396969309005
middle_LAA_950_frac,99,-0.029916243420175136,0.768797425896943,0.792,1.0,False,0.8431971767901956,False,0.029916243420175136
vein_diam_sd,102,-0.02956995224441408,0.7679741930243481,0.752,1.0,False,0.8431971767901956,False,0.02956995224441408
airway_diam_p75_legR17,99,0.02858469694769966,0.7788182316296243,0.774,1.0,False,0.8460037806846606,False,0.02858469694769966
vein_n_nodes,102,0.027328083414298408,0.7851226914732061,0.77,1.0,False,0.8460037806846606,False,0.027328083414298408
artery_total_vol_proxy_mm3,102,-0.027176517533471264,0.7862858667539787,0.782,1.0,False,0.8460037806846606,False,0.027176517533471264
artery_diam_p25,102,-0.025309656749390928,0.8006506682121238,0.772,1.0,False,0.8560415949437802,False,0.025309656749390928
artery_tort_p75,102,0.018247817831656216,0.8555531176723189,0.864,1.0,False,0.9066911285347936,False,0.018247817831656216
basal_LAA_950_frac,99,0.0175635702992257,0.8630058008080769,0.878,1.0,False,0.9066911285347936,False,0.0175635702992257
vein_total_vol_proxy_mm3,102,-0.017167094356975186,0.8640233107213915,0.854,1.0,False,0.9066911285347936,False,0.017167094356975186
whole_HU_p5,102,0.01644121937174028,0.8697210851870761,0.894,1.0,False,0.9070710704405089,False,0.01644121937174028
whole_LAA_950_frac,102,-0.015039596836137125,0.8807417783533564,0.896,1.0,False,0.9129640385370158,False,0.015039596836137125
vein_tort_sd,102,-0.012974339934259756,0.897021443800849,0.882,1.0,False,0.9242039117948142,False,0.012974339934259756
paren_HU_p5,99,0.011796856202980984,0.9077392944125557,0.914,1.0,False,0.9296125304224969,False,0.011796856202980984
airway_lap_eig2_legR17,102,-0.0020796082914982922,0.9834497252883239,0.986,1.0,False,0.9986903036500502,False,0.0020796082914982922
airway_diam_p10_legR17,99,0.0012636743486163535,0.9900955395514394,0.994,1.0,False,0.9986903036500502,False,0.0012636743486163535
vein_max_degree,102,0.0006476167806999493,0.9948457027391218,0.996,1.0,False,0.9986903036500502,False,0.0006476167806999493
paren_LAA_950_frac,99,0.00016709527768819378,0.9986903036500502,1.0,1.0,False,0.9986903036500502,False,0.00016709527768819378
airway_n_components_legR17,99,,,0.0,,False,,False,
airway_tortuosity_proxy_legR17,99,,,0.0,,False,,False,
