panel,model,n_features,n_folds,pooled_oof_auc,pooled_oof_auc_ci_lo,pooled_oof_auc_ci_hi,auc_mean,auc_std,acc_mean,acc_std,sens_mean,sens_std,spec_mean,spec_std,prec_mean,prec_std,f1_mean,f1_std,bal_acc_mean,bal_acc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,thr_mean,thr_std
P4_combined_clean,Ridge_LR,154,25,0.8904794364917065,0.8132953043559195,0.9651376513945183,0.8846060606060605,0.09942935451493286,0.8557894736842105,0.07447693874235253,0.8750000000000001,0.07705657155872997,0.7440000000000001,0.21452169017503933,0.9541641157558517,0.03877503790704453,0.910858791602953,0.04967793740984993,0.8095,0.11519383978446218,0.9751438408270251,0.024639076684703914,0.08421456226331493,0.028478888738395654,0.8277426057591911,0.11577660913318495
P4_combined_clean,Lasso_LR,154,25,0.8861622358554874,0.8189848361037448,0.9504014164792604,0.8649204545454545,0.12276399177128379,0.8242105263157895,0.07616864216894964,0.8516287878787878,0.09151577864525239,0.6626666666666666,0.2643768354283542,0.9407222275568805,0.04496296901965889,0.8903233198159022,0.05414850700836315,0.7571477272727272,0.12668804281713988,0.97037628737634,0.034762330568041476,0.1055936414367467,0.036060365321559505,0.8344708885776633,0.1736481763121791
P4_combined_clean,GradBoost,154,25,0.8720745285162462,0.8154679564820128,0.9289905423663386,0.8557272727272728,0.07335315597352579,0.756842105263158,0.07991685429937814,0.7623484848484848,0.09861350861685408,0.7293333333333334,0.19693653800145874,0.9461819978233771,0.03667471089479938,0.8398681195180617,0.06281837120736762,0.7458409090909092,0.0946836010260482,0.9726010799252214,0.01678123469408128,0.1046551292021379,0.03609633745922358,0.9937662135695743,0.0018969007378846145
P4_combined_clean,RandomForest,154,25,0.8500340831629176,0.7761895744431657,0.9215247654784239,0.8541212121212122,0.11073033608262704,0.8673684210526317,0.053404845869329774,0.9363636363636364,0.06386705120457975,0.45466666666666666,0.2097363424238473,0.9128219426431328,0.03151548346864049,0.9228619415468527,0.034316899990522946,0.6955151515151514,0.10009862589404987,0.9705696517219181,0.026302775387564502,0.09505450380305729,0.019209228690611986,0.6219975338792536,0.033936142051873446
P1_lung_only,Ridge_LR,34,25,0.8202681208816178,0.7294015488691354,0.910478588245073,0.818723484848485,0.13182501049013967,0.7936842105263158,0.08142770360342617,0.800189393939394,0.09372723170109518,0.7546666666666667,0.20174351152997322,0.9530191361099228,0.03444218144151805,0.8666698673598128,0.058516977685911,0.7774280303030303,0.10472473059243648,0.9567944046309864,0.03985154819047859,0.09750239852737726,0.02597050615216077,0.8242207674928891,0.050626425159143035
P1_lung_only,Lasso_LR,34,25,0.8091342876618951,0.7098191585683061,0.9005980952249212,0.8068484848484849,0.13331444834406325,0.7863157894736843,0.07993071792239843,0.8063257575757575,0.09174181430120291,0.6679999999999999,0.22597541655872413,0.9375609753834087,0.03949704706596226,0.8636803896797737,0.057170129282889115,0.7371628787878788,0.11457589219514747,0.9488988066951478,0.046626152888024214,0.1107495803279581,0.04273757984169812,0.7968189927768314,0.04209061601127679
P1_lung_only,GradBoost,34,25,0.8027720972506247,0.7153858353956825,0.8828966428084526,0.8008825757575758,0.10191201723715505,0.7884210526315789,0.06759829203369398,0.8199242424242424,0.07839933697200008,0.6026666666666667,0.2222950991612526,0.9268159797877196,0.03737990060894504,0.8675864506172124,0.04770567959005354,0.7112954545454545,0.10987165547164096,0.9541398120399717,0.03449478737656891,0.13023307134016782,0.03599544135123023,0.9541242241140705,0.01149565275562944
P1_lung_only,RandomForest,34,25,0.8002726653033403,0.7199693021389478,0.8813238113496932,0.8013863636363636,0.11381591206852767,0.8231578947368422,0.05693948773178323,0.9119318181818181,0.07151069740880367,0.292,0.22435685859808252,0.8871336347815475,0.03336316371490635,0.8972587670021496,0.03778583098291215,0.6019659090909091,0.10457680716744513,0.9589697278724069,0.03121082295362937,0.11241033479915583,0.02754123337724744,0.4948512257196201,0.02837805290489482
P3_airway_coupling,Lasso_LR,42,25,0.7777777777777778,0.6897191917434141,0.8547218244121887,0.7662272727272728,0.1037923781097297,0.7747368421052632,0.07103508555285468,0.8235606060606061,0.09241598323752993,0.488,0.21743555878057808,0.9078415753997148,0.036943582100847284,0.8600301891013038,0.049894086744377376,0.655780303030303,0.097138408513995,0.9503392852307332,0.02932667096567374,0.13141154108287675,0.04090786157202028,0.7456993545292885,0.09085304886267753
P3_airway_coupling,Ridge_LR,42,25,0.7620995228357191,0.6688584279288927,0.8499961515042069,0.7567859848484849,0.08327138141390684,0.7621052631578946,0.0727306722952619,0.8051893939393939,0.0953498403613397,0.5093333333333334,0.19607708234830054,0.9090132904759942,0.0333116187480399,0.8502966574634852,0.05400036174178233,0.6572613636363637,0.08845265830775234,0.9476050650007386,0.026239127319558447,0.13415110093127677,0.03213196720786275,0.7838907185530661,0.06854524075650362
P3_airway_coupling,RandomForest,42,25,0.7573278800272666,0.6667339971276199,0.8439279905879096,0.7506628787878787,0.10116526513613394,0.8410526315789474,0.07040838529764482,0.9265909090909092,0.07526073823055594,0.3306666666666666,0.1662447994174053,0.8924499141950559,0.029986425792934635,0.9077007348625439,0.04584007840337125,0.6286287878787878,0.09362359752266197,0.9452043882249526,0.030283608831293336,0.10948113621379069,0.021090744599361222,0.611418012751475,0.036282434607708976
P3_airway_coupling,GradBoost,42,25,0.7468757100658941,0.6341186549582352,0.8559335373190101,0.7419204545454545,0.11149141594710243,0.7505263157894737,0.05723064092239236,0.7695833333333333,0.06903284126149992,0.6493333333333333,0.21931610874615562,0.9299184174246006,0.043351287678065405,0.8397188260095918,0.04053567920114772,0.7094583333333333,0.10363779418758369,0.9350038168357453,0.03996385959474076,0.13077437841276127,0.041079874032894474,0.9742912358846264,0.005669568608132315
P2_vascular_topology,GradBoost,66,25,0.7225630538513974,0.6129317202673127,0.8239007375933488,0.7062121212121213,0.09670608106888874,0.7126315789473684,0.06088907311149292,0.7519696969696971,0.07132431925359024,0.48266666666666663,0.23134774210650466,0.8985314382688132,0.04585174759372101,0.8161051488691113,0.0459443615671065,0.6173181818181819,0.10914086779564476,0.9350334542486703,0.02735296279450909,0.131245659645973,0.03659567460326873,0.9654436736715243,0.0072344671355568544
P2_vascular_topology,Ridge_LR,66,25,0.7157464212678936,0.6076387032085562,0.8175272429705439,0.720556818181818,0.10903710899808067,0.7221052631578948,0.0794998214252598,0.7623106060606061,0.11139809557567837,0.48800000000000004,0.26159850492267306,0.9033001096002451,0.04670707917205466,0.82053507588609,0.06337181057812004,0.625155303030303,0.10568425475088412,0.931905604807602,0.043759666404590676,0.129574433569743,0.03823672367070026,0.829461721889573,0.06470808545578335
P2_vascular_topology,RandomForest,66,25,0.6743921835946376,0.5628617073822452,0.7804088157092048,0.6716704545454545,0.09264484694406515,0.831578947368421,0.045275396142329616,0.9288636363636364,0.0571526268007829,0.24666666666666667,0.16733200530681508,0.8821051363123419,0.02566328357542226,0.9036597174377848,0.02842787818471148,0.5877651515151515,0.07472890148972096,0.923429722779561,0.025554918903897966,0.1187640127939508,0.014329273167509527,0.6548189651777236,0.036643817577165186
P2_vascular_topology,Lasso_LR,66,25,0.6207680072710747,0.5041235852500913,0.7406753420812707,0.6621988636363636,0.1295261100544428,0.7031578947368421,0.0872859471226437,0.7538257575757575,0.1243504934649519,0.4040000000000001,0.24789244979762226,0.8880854308826927,0.041549791852979724,0.8075585728098871,0.07490585461487945,0.5789128787878788,0.09558997397439797,0.9184508230905536,0.04199152551595499,0.19940933668983984,0.0728517602853283,0.8739397602287069,0.10294376006857604
