feats,clf,rep,fold,AUC,Accuracy,Sensitivity,Specificity,Precision,F1
radiomics_only,logreg,0,0,0.6799999999999999,0.65,0.7333333332844444,0.39999999992,0.7857142856581633,0.7586206896551724
radiomics_only,rf,0,0,0.7999999999999999,0.75,0.7999999999466667,0.59999999988,0.8571428570816326,0.8275862068965517
radiomics_only,logreg,0,1,0.9466666666666667,0.9,0.9333333332711111,0.79999999984,0.9333333332711111,0.9333333333333333
radiomics_only,rf,0,1,0.8666666666666666,0.85,0.9333333332711111,0.59999999988,0.8749999999453125,0.9032258064516129
radiomics_only,logreg,0,2,0.8214285714285714,0.85,0.928571428505102,0.6666666665555555,0.8666666666088889,0.896551724137931
radiomics_only,rf,0,2,0.6904761904761905,0.8,0.928571428505102,0.49999999991666666,0.8124999999492187,0.8666666666666667
radiomics_only,logreg,0,3,0.8142857142857143,0.7368421052631579,0.7857142856581633,0.59999999988,0.8461538460887574,0.8148148148148148
radiomics_only,rf,0,3,0.8571428571428572,0.7894736842105263,0.8571428570816326,0.59999999988,0.8571428570816326,0.8571428571428571
radiomics_only,logreg,0,4,0.7285714285714286,0.7894736842105263,0.9999999999285715,0.19999999996,0.7777777777345679,0.875
radiomics_only,rf,0,4,0.7714285714285714,0.7894736842105263,0.928571428505102,0.39999999992,0.8124999999492187,0.8666666666666667
radiomics_only,logreg,1,0,0.8533333333333333,0.85,0.9333333332711111,0.59999999988,0.8749999999453125,0.9032258064516129
radiomics_only,rf,1,0,0.8933333333333333,0.8,0.8666666666088889,0.59999999988,0.8666666666088889,0.8666666666666667
radiomics_only,logreg,1,1,0.6266666666666667,0.8,0.9333333332711111,0.39999999992,0.8235294117162629,0.875
radiomics_only,rf,1,1,0.6066666666666667,0.85,0.9999999999333333,0.39999999992,0.8333333332870371,0.9090909090909091
radiomics_only,logreg,1,2,0.8809523809523809,0.7,0.8571428570816326,0.33333333327777775,0.749999999953125,0.8
radiomics_only,rf,1,2,0.8333333333333334,0.7,0.7857142856581633,0.49999999991666666,0.7857142856581633,0.7857142857142857
radiomics_only,logreg,1,3,0.7857142857142857,0.7368421052631579,0.7857142856581633,0.59999999988,0.8461538460887574,0.8148148148148148
radiomics_only,rf,1,3,0.7428571428571429,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
radiomics_only,logreg,1,4,0.9142857142857144,0.8421052631578947,0.8571428570816326,0.79999999984,0.9230769230059171,0.8888888888888888
radiomics_only,rf,1,4,0.7571428571428571,0.8947368421052632,0.9999999999285715,0.59999999988,0.8749999999453125,0.9333333333333333
radiomics_only,logreg,2,0,0.84,0.8,0.8666666666088889,0.59999999988,0.8666666666088889,0.8666666666666667
radiomics_only,rf,2,0,0.7533333333333334,0.85,0.9333333332711111,0.59999999988,0.8749999999453125,0.9032258064516129
radiomics_only,logreg,2,1,0.72,0.8,0.8666666666088889,0.59999999988,0.8666666666088889,0.8666666666666667
radiomics_only,rf,2,1,0.8,0.75,0.9333333332711111,0.19999999996,0.7777777777345679,0.8484848484848485
radiomics_only,logreg,2,2,0.8571428571428572,0.8,0.8571428570816326,0.6666666665555555,0.8571428570816326,0.8571428571428571
radiomics_only,rf,2,2,0.8928571428571428,0.85,0.928571428505102,0.6666666665555555,0.8666666666088889,0.896551724137931
radiomics_only,logreg,2,3,0.8285714285714286,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
radiomics_only,rf,2,3,0.7857142857142857,0.7894736842105263,0.928571428505102,0.39999999992,0.8124999999492187,0.8666666666666667
radiomics_only,logreg,2,4,0.8571428571428572,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
radiomics_only,rf,2,4,0.7,0.7894736842105263,0.8571428570816326,0.59999999988,0.8571428570816326,0.8571428571428571
AB_only,logreg,0,0,0.5733333333333333,0.55,0.7333333332844444,0.0,0.6874999999570313,0.7096774193548387
AB_only,rf,0,0,0.5399999999999999,0.65,0.8666666666088889,0.0,0.7222222221820987,0.7878787878787878
AB_only,logreg,0,1,0.8133333333333332,0.75,0.9999999999333333,0.0,0.7499999999625,0.8571428571428571
AB_only,rf,0,1,0.8266666666666667,0.75,0.9333333332711111,0.19999999996,0.7777777777345679,0.8484848484848485
AB_only,logreg,0,2,0.6309523809523809,0.7,0.9999999999285715,0.0,0.699999999965,0.8235294117647058
AB_only,rf,0,2,0.75,0.7,0.7142857142346939,0.6666666665555555,0.8333333332638889,0.7692307692307693
AB_only,logreg,0,3,0.44285714285714284,0.6842105263157895,0.8571428570816326,0.19999999996,0.749999999953125,0.8
AB_only,rf,0,3,0.48571428571428577,0.6842105263157895,0.928571428505102,0.0,0.7222222221820987,0.8125
AB_only,logreg,0,4,0.3857142857142857,0.7368421052631579,0.9999999999285715,0.0,0.7368421052243768,0.8484848484848485
AB_only,rf,0,4,0.5928571428571427,0.6842105263157895,0.928571428505102,0.0,0.7222222221820987,0.8125
AB_only,logreg,1,0,0.6666666666666666,0.75,0.9999999999333333,0.0,0.7499999999625,0.8571428571428571
AB_only,rf,1,0,0.8799999999999999,0.75,0.9333333332711111,0.19999999996,0.7777777777345679,0.8484848484848485
AB_only,logreg,1,1,0.6933333333333334,0.75,0.9999999999333333,0.0,0.7499999999625,0.8571428571428571
AB_only,rf,1,1,0.7466666666666666,0.7,0.9333333332711111,0.0,0.7368421052243768,0.8235294117647058
AB_only,logreg,1,2,0.6904761904761905,0.65,0.928571428505102,0.0,0.6842105262797784,0.7878787878787878
AB_only,rf,1,2,0.6547619047619048,0.6,0.8571428570816326,0.0,0.6666666666296296,0.75
AB_only,logreg,1,3,0.3857142857142857,0.631578947368421,0.8571428570816326,0.0,0.705882352899654,0.7741935483870968
AB_only,rf,1,3,0.5714285714285714,0.631578947368421,0.7857142856581633,0.19999999996,0.7333333332844444,0.7586206896551724
AB_only,logreg,1,4,0.4357142857142857,0.5789473684210527,0.7142857142346939,0.19999999996,0.7142857142346939,0.7142857142857143
AB_only,rf,1,4,0.5,0.7368421052631579,0.928571428505102,0.19999999996,0.7647058823079584,0.8387096774193549
AB_only,logreg,2,0,0.7133333333333334,0.7,0.8666666666088889,0.19999999996,0.7647058823079584,0.8125
AB_only,rf,2,0,0.7400000000000001,0.75,0.9333333332711111,0.19999999996,0.7777777777345679,0.8484848484848485
AB_only,logreg,2,1,0.6666666666666666,0.7,0.9333333332711111,0.0,0.7368421052243768,0.8235294117647058
AB_only,rf,2,1,0.6866666666666666,0.75,0.9333333332711111,0.19999999996,0.7777777777345679,0.8484848484848485
AB_only,logreg,2,2,0.5833333333333334,0.65,0.928571428505102,0.0,0.6842105262797784,0.7878787878787878
AB_only,rf,2,2,0.75,0.65,0.928571428505102,0.0,0.6842105262797784,0.7878787878787878
AB_only,logreg,2,3,0.39999999999999997,0.631578947368421,0.8571428570816326,0.0,0.705882352899654,0.7741935483870968
AB_only,rf,2,3,0.4571428571428572,0.6842105263157895,0.7857142856581633,0.39999999992,0.7857142856581633,0.7857142857142857
AB_only,logreg,2,4,0.5714285714285714,0.7368421052631579,0.9999999999285715,0.0,0.7368421052243768,0.8484848484848485
AB_only,rf,2,4,0.7,0.7894736842105263,0.9999999999285715,0.19999999996,0.7777777777345679,0.875
radiomics+AB,logreg,0,0,0.7466666666666667,0.7,0.7999999999466667,0.39999999992,0.7999999999466667,0.8
radiomics+AB,rf,0,0,0.76,0.8,0.8666666666088889,0.59999999988,0.8666666666088889,0.8666666666666667
radiomics+AB,logreg,0,1,0.9466666666666667,0.9,0.9333333332711111,0.79999999984,0.9333333332711111,0.9333333333333333
radiomics+AB,rf,0,1,0.9199999999999999,0.9,0.9999999999333333,0.59999999988,0.8823529411245675,0.9375
radiomics+AB,logreg,0,2,0.8214285714285714,0.8,0.928571428505102,0.49999999991666666,0.8124999999492187,0.8666666666666667
radiomics+AB,rf,0,2,0.7142857142857143,0.8,0.928571428505102,0.49999999991666666,0.8124999999492187,0.8666666666666667
radiomics+AB,logreg,0,3,0.6428571428571428,0.631578947368421,0.7142857142346939,0.39999999992,0.7692307691715976,0.7407407407407407
radiomics+AB,rf,0,3,0.8071428571428572,0.7894736842105263,0.8571428570816326,0.59999999988,0.8571428570816326,0.8571428571428571
radiomics+AB,logreg,0,4,0.7285714285714286,0.7894736842105263,0.9999999999285715,0.19999999996,0.7777777777345679,0.875
radiomics+AB,rf,0,4,0.7857142857142857,0.7894736842105263,0.9999999999285715,0.19999999996,0.7777777777345679,0.875
radiomics+AB,logreg,1,0,0.8533333333333333,0.9,0.9333333332711111,0.79999999984,0.9333333332711111,0.9333333333333333
radiomics+AB,rf,1,0,0.8533333333333333,0.75,0.8666666666088889,0.39999999992,0.8124999999492187,0.8387096774193549
radiomics+AB,logreg,1,1,0.6799999999999999,0.8,0.9333333332711111,0.39999999992,0.8235294117162629,0.875
radiomics+AB,rf,1,1,0.52,0.85,0.9999999999333333,0.39999999992,0.8333333332870371,0.9090909090909091
radiomics+AB,logreg,1,2,0.8690476190476191,0.75,0.8571428570816326,0.49999999991666666,0.7999999999466667,0.8275862068965517
radiomics+AB,rf,1,2,0.7857142857142858,0.7,0.7857142856581633,0.49999999991666666,0.7857142856581633,0.7857142857142857
radiomics+AB,logreg,1,3,0.7857142857142857,0.7368421052631579,0.7857142856581633,0.59999999988,0.8461538460887574,0.8148148148148148
radiomics+AB,rf,1,3,0.7642857142857142,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
radiomics+AB,logreg,1,4,0.8571428571428571,0.7894736842105263,0.928571428505102,0.39999999992,0.8124999999492187,0.8666666666666667
radiomics+AB,rf,1,4,0.7,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
radiomics+AB,logreg,2,0,0.84,0.75,0.7999999999466667,0.59999999988,0.8571428570816326,0.8275862068965517
radiomics+AB,rf,2,0,0.7333333333333333,0.8,0.8666666666088889,0.59999999988,0.8666666666088889,0.8666666666666667
radiomics+AB,logreg,2,1,0.6666666666666667,0.8,0.8666666666088889,0.59999999988,0.8666666666088889,0.8666666666666667
radiomics+AB,rf,2,1,0.84,0.8,0.9999999999333333,0.19999999996,0.7894736841689751,0.8823529411764706
radiomics+AB,logreg,2,2,0.8333333333333334,0.75,0.7857142856581633,0.6666666665555555,0.8461538460887574,0.8148148148148148
radiomics+AB,rf,2,2,0.9107142857142857,0.85,0.928571428505102,0.6666666665555555,0.8666666666088889,0.896551724137931
radiomics+AB,logreg,2,3,0.8285714285714286,0.7368421052631579,0.928571428505102,0.19999999996,0.7647058823079584,0.8387096774193549
radiomics+AB,rf,2,3,0.7714285714285714,0.7894736842105263,0.928571428505102,0.39999999992,0.8124999999492187,0.8666666666666667
radiomics+AB,logreg,2,4,0.8714285714285714,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
radiomics+AB,rf,2,4,0.7428571428571429,0.8421052631578947,0.928571428505102,0.59999999988,0.8666666666088889,0.896551724137931
